measurement_column,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,PlateScale_Reference
SeqId,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,PlateScale_Reference
4903-72_1,4903-72_1,SL003657,Calcineurin,Calcineurin,Q08209  P63098,5530 5534,PPP3CA PPP3R1,Human,RFU,Protein,20,564.25
4904-7_1,4904-7_1,SL003710,Caspase-2,Caspase-2,P42575,835,CASP2,Human,RFU,Protein,20,29.7
4905-63_1,4905-63_1,SL004814,Coactosin-like protein,Coactosin-like protein,Q14019,23406,COTL1,Human,RFU,Protein,20,5402.4
4906-35_1,4906-35_1,SL000622,Coagulation Factor V,Coagulation Factor V,P12259,2153,F5,Human,RFU,Protein,20,87215.95000000001
4907-56_1,4907-56_1,SL000022,D-dimer,D-dimer,P02671 P02675 P02679,2243 2244 2266,FGA FGB FGG,Human,RFU,Protein,20,5235.799999999999
4908-6_1,4908-6_1,SL004482,Endoglin,Endoglin,P17813,2022,ENG,Human,RFU,Protein,20,36.0
4909-68_1,4909-68_1,SL005167,Galectin-8,Galectin-8,O00214,3964,LGALS8,Human,RFU,Protein,20,48.3
4910-21_1,4910-21_1,SL004064,Phospholipase A2,GIB,P04054,5319,PLA2G1B,Human,RFU,Protein,20,29.900000000000002
4911-49_2,4911-49_2,SL003643,Glutathione S-transferase P,Glutathione S-transferase Pi,P09211,2950,GSTP1,Human,RFU,Protein,20,1679.9
4912-17_1,4912-17_1,SL000280,"Aspartate aminotransferase, cytoplasmic",GOT1,P17174,2805,GOT1,Human,RFU,Protein,20,1716.9
4913-78_1,4913-78_1,SL003300,C-C motif chemokine 16,HCC-4,O15467,6360,CCL16,Human,RFU,Protein,20,618.85
4914-10_1,4914-10_1,SL001766,Human Chorionic Gonadotropin,HCG,"P01215,P01233",1081 1082,CGA CGB,Human,RFU,Protein,20,38.2
4915-64_2,4915-64_2,SL000836,Hemoglobin,Hemoglobin,"P69905, P68871",3039  3043,HBA1 HBB,Human,RFU,Protein,20,310.15
4916-2_1,4916-2_1,SL000460,Immunoglobulin D,IgD,P01880,3495 50802 3535,IGHD  IGK@ IGL@,Human,RFU,Protein,20,372.8
4917-62_1,4917-62_1,SL003182,Integrin alpha-V: beta-5 complex,Integrin aVb5,"P06756, P18084",3685 3693,ITGAV ITGB5,Human,RFU,Protein,20,232.9
4920-10_1,4920-10_1,SL000510,Lysozyme C,Lysozyme,P61626,4069,LYZ,Human,RFU,Protein,20,57704.600000000006
4922-13_1,4922-13_1,SL003189,C-C motif chemokine 19,MIP-3b,Q99731,6363,CCL19,Human,RFU,Protein,20,84.5
4923-79_1,4923-79_1,SL005201,Muellerian-inhibiting factor,MIS,P03971,268,AMH,Human,RFU,Protein,20,2100.7
